name,imbalance_level,loss_type,overall_acc,per_class_acc,confusion_matrix,seed
Seed 0 | Imbalance 1.0 + standard loss,1.0,standard,0.7054,[0.794 0.87  0.534 0.502 0.726 0.588 0.744 0.798 0.778 0.72 ],"[[397  17  12   6  13   4   8   5  24  14]
 [ 12 435   5   7   1   3   4   0   4  29]
 [ 44   6 267  19  76  23  33  18  10   4]
 [ 11   5  35 251  48  71  37  21  12   9]
 [  6   2  24  29 363  12  21  37   6   0]
 [  6   4  22  88  33 294  12  35   4   2]
 [  5   3  27  32  38  11 372   4   5   3]
 [  8   4  15  16  33  15   5 399   3   2]
 [ 42  29   3   5   9   3   1   4 389  15]
 [ 22  65   6   2  13   3   4   7  18 360]]",0
Seed 0 | Imbalance 1.0 + weighted loss,1.0,weighted,0.6988,[0.846 0.844 0.546 0.444 0.642 0.566 0.862 0.796 0.732 0.71 ],"[[423  12  13   4   5   2   7   6  16  12]
 [ 19 422   4   2   3   0  12   4  11  23]
 [ 48   5 273  17  50  18  55  19   5  10]
 [ 22   3  43 222  42  68  63  22   9   6]
 [ 18   3  35  19 321  13  47  36   5   3]
 [ 13   3  35  60  23 283  31  44   6   2]
 [  3   2  18  10  19  13 431   2   2   0]
 [ 21   2  12  11  27  14   9 398   1   5]
 [ 69  32   5   1   4   5   5   3 366  10]
 [ 41  65   5   5   8   1   3   6  11 355]]",0
Seed 0 | Imbalance 0.5 + standard loss,0.5,standard,0.6762,[0.846 0.78  0.42  0.352 0.564 0.616 0.846 0.79  0.724 0.824],"[[423   6   9   2   3   2   9   7  18  21]
 [ 21 390   2   4   1   2   4   4  12  60]
 [ 66   5 210  20  49  36  61  35   7  11]
 [ 34   8  26 176  25 111  72  29   9  10]
 [ 18   2  38  27 282  22  41  63   5   2]
 [ 18   1  16  50  17 308  37  42   4   7]
 [  3   1  19  17   8  18 423   5   5   1]
 [ 20   2  11  11  22  29   3 395   2   5]
 [ 76  21   3   3   1   8   3   3 362  20]
 [ 27  34   2   2   1   2   2   9   9 412]]",0
Seed 0 | Imbalance 0.5 + weighted loss,0.5,weighted,0.6698,[0.73  0.718 0.618 0.392 0.542 0.634 0.772 0.676 0.808 0.808],"[[365  11  49   4   6   3   2   4  33  23]
 [ 17 359   7   3   0   1   4   0  30  79]
 [ 28   4 309  16  30  40  37  10  13  13]
 [ 13   2  55 196  33 119  41  13  12  16]
 [ 13   3  67  25 271  39  41  30   8   3]
 [ 10   2  44  55  17 317  15  25   5  10]
 [  5   0  35  29  14  16 386   4   2   9]
 [ 15   2  32  14  22  49   7 338   3  18]
 [ 38  15   8   5   1   6   2   4 404  17]
 [ 26  35   5   3   1   3   1   5  17 404]]",0
Seed 0 | Imbalance 0.2 + standard loss,0.2,standard,0.6094,[0.832 0.732 0.382 0.194 0.152 0.484 0.912 0.806 0.844 0.756],"[[416   7   5   0   0   1  11   6  38  16]
 [ 22 366   0   1   0   1  21   5  22  62]
 [ 79   7 191   9   5  28 117  37  17  10]
 [ 37   3  29  97   3  99 145  54  20  13]
 [ 39   3  55  26  76  30 167  88  14   2]
 [ 24   0  39  32   4 242  85  53  13   8]
 [  5   0  11  11   1   3 456   5   5   3]
 [ 21   1   9   6   4  18  23 403   4  11]
 [ 37  18   2   2   0   2   6   5 422   6]
 [ 27  38   3   2   1   4  11   9  27 378]]",0
Seed 0 | Imbalance 0.2 + weighted loss,0.2,weighted,0.623,[0.684 0.836 0.528 0.384 0.448 0.414 0.794 0.728 0.746 0.668],"[[342  29  38   8   9   6  10   5  39  14]
 [ 10 418  10   5   2   0   9   2   7  37]
 [ 37   8 264  42  31  25  54  25   9   5]
 [  9   7  71 192  31  64  75  31  10  10]
 [  9   5  65  37 224   6  84  62   8   0]
 [  7   5  58 109  17 207  36  51   6   4]
 [  2   1  35  38  10   6 397   5   1   5]
 [ 11   1  26  19  23  21  19 364   6  10]
 [ 45  43  10  10   2   1   4   3 373   9]
 [ 21  83  10  10   5   2   7  10  18 334]]",0
Seed 0 | Imbalance 0.1 + standard loss,0.1,standard,0.5616,[0.708 0.882 0.152 0.296 0.162 0.174 0.902 0.762 0.752 0.826],"[[354  34   2   1   0   0   8   8  38  55]
 [  2 441   0   0   0   0   1   0   4  52]
 [ 81  36  76  31  29   5 125  68  18  31]
 [ 27  50   8 148  11  13 122  53  16  52]
 [ 25  36  20  20  81   7 166 117  17  11]
 [ 16  34  13  95   6  87  76 115  16  42]
 [  3  13   3   7   3   1 451   3   2  14]
 [ 10  17   1   6   3   5  23 381   3  51]
 [ 30  51   1   3   0   0   2   4 376  33]
 [  6  68   1   2   0   0   2   2   6 413]]",0
Seed 0 | Imbalance 0.1 + weighted loss,0.1,weighted,0.595,[0.74  0.79  0.582 0.284 0.416 0.576 0.71  0.64  0.642 0.57 ],"[[370  10  51   9   2  15  11   7  19   6]
 [ 20 395  12   6   3   1  11   7  16  29]
 [ 34   6 291  19  40  51  38  13   6   2]
 [ 12   8  73 142  22 153  61  17   5   7]
 [ 12   2 112  25 208  49  45  40   7   0]
 [  7   2  79  64   8 288  20  28   2   2]
 [  1   1  69  24  25  19 355   3   1   2]
 [ 13   1  45  20  16  66  12 320   2   5]
 [ 84  25  26  14   0  11   5   3 321  11]
 [ 43  94  21   5   1  10  12  17  12 285]]",0
Seed 1 | Imbalance 1.0 + standard loss,1.0,standard,0.674,[0.784 0.824 0.678 0.43  0.502 0.692 0.66  0.688 0.782 0.7  ],"[[392  10  25   9   3   5   3   3  40  10]
 [ 12 412   7   3   2   3   5   1  28  27]
 [ 37   6 339  29  20  28  21   9   7   4]
 [ 25   3  59 215  14 135  21  14   9   5]
 [ 15   3  94  41 251  40  27  21   8   0]
 [ 11   3  56  49  11 346   5  18   0   1]
 [  6   8  61  32  18  37 330   2   3   3]
 [ 15   4  44  13  20  50   4 344   3   3]
 [ 58  22   6   5   1  12   0   1 391   4]
 [ 32  63   7   8   2   4   2   5  27 350]]",1
Seed 1 | Imbalance 1.0 + weighted loss,1.0,weighted,0.6948,[0.798 0.838 0.64  0.512 0.66  0.492 0.792 0.648 0.752 0.816],"[[399  11  23   3   7   0   6   4  19  28]
 [ 11 419   6   3   1   0   3   0  12  45]
 [ 36   4 320  22  47   8  37   7   8  11]
 [ 19  13  61 256  38  42  33  11   9  18]
 [ 10   5  46  27 330  10  39  26   7   0]
 [ 14   4  52 101  30 246  17  26   3   7]
 [  5   3  28  30  19   6 396   1   5   7]
 [  9   5  33  31  50  14   7 324   3  24]
 [ 51  29   7   5   4   3   1   1 376  23]
 [ 19  44   6   5   4   0   2   2  10 408]]",1
